date, pm25, pm10, o3, no2, so2, co
2023/4/16, 69, 50, 68, 8, 2, 5
2023/4/17, 100, 48, 57, 5, 2, 4
2023/4/18, 85, 56, 71, 11, 2, 4
2023/4/19, 94, 26, 23, 4, , 2
2023/4/20, 48, 26, 42, 6, , 3
2023/4/21, 58, 30, 57, 9, 1, 3
2023/4/22, 59, 53, 63, 9, 2, 3
2023/4/23, 88, 61, 48, 7, 2, 3
2023/4/24, 93, 60, 45, 6, 1, 2
2023/4/25, 85, 44, 52, 9, 1, 3
2023/4/26, 80, 38, 49, 10, 2, 3
2023/4/27, 70, 36, 53, 9, 2, 2
2023/4/28, 63, 44, 61, 8, 2, 3
2023/4/29, 78, 31, 48, 8, 1, 3
2023/4/30, 65, 47, 46, 7, 2, 3
2023/5/1, 75, 43, 50, 7, 2, 2
2023/5/2, 64, 45, 55, 7, 2, 2
2023/5/3, 60, 51, 54, 7, , 3
2023/5/4, 95, 41, 58, 7, 1, 2
2023/5/5, 81, 33, 32, 6, , 2
2023/5/6, 48, 17, 34, 5, , 1
2023/5/7, 35, 15, 17, 8, , 1
2023/5/8, 34, 15, 48, 6, 1, 2
2023/5/9, 30, 29, 48, 8, 1, 2
2023/5/10, 42, 48, 71, 12, 2, 3
2023/5/11, 78, 48, 63, 10, 2, 3
2023/5/12, 85, 48, 52, 7, 2, 2
2023/5/13, 86, 40, 42, 6, 1, 2
2023/5/14, 73, 40, 51, 7, 2, 3
2023/5/15, 76, 42, 51, 8, 1, 3
2023/5/16, 84, 38, 69, 7, 1, 3
2023/5/17, 82, 27, 64, 9, , 2
2023/5/18, 59, 16, 23, 5, , 1
2023/5/19, 29, 26, 27, 5, , 1
2023/5/20, 54, 27, 30, 6, 1, 1
2023/5/21, 52, 19, 27, 4, 1, 1
2023/5/22, 37, 13, 17, 4, , 1
2023/5/23, 20, 33, 50, 6, 1, 2
2023/5/24, 53, 56, 45, 10, 2, 2
2023/5/25, 80, 39, 43, 8, 1, 2
2023/5/26, 67, 30, 43, 6, 1, 2
2023/5/27, 60, 38, 42, 5, 1, 2
2023/5/28, 72, 42, 49, 5, , 2
2023/5/29, 71, 33, 46, 5, 1, 1
2023/5/30, 50, 58, 48, 7, , 2
2023/5/31, 77, 40, 32, 6, , 1
2023/6/1, 53, 24, 26, 4, , 1
2023/6/2, 37, 23, 41, 5, , 1
2023/6/3, 50, 19, 33, 4, , 2
2023/6/4, 52, 22, 31, 4, 1, 1
2023/6/5, 45, 25, 35, 5, 1, 2
2023/6/6, 49, 23, 38, 5, , 2
2023/6/7, 41, 16, 18, 5, , 1
2023/6/8, 21, 17, 23, 6, , 1
2023/6/9, 25, 16, 21, 5, , 1
2023/6/10, 33, 20, 28, 5, , 1
2023/6/11, 41, 15, 21, 5, , 1
2023/6/12, 31, 10, 23, 5, , 1
2023/6/13, 19, 9, 29, 4, , 1
2023/6/14, 18, 13, 37, 3, , 1
2023/6/15, 24, 15, 28, 3, , 1
2023/6/16, 26, 14, 22, 4, 1, 1
2023/6/17, 21, 20, 22, 5, 1, 1
2023/6/18, 41, 16, 25, 3, 1, 1
2023/6/19, 33, 19, 17, 4, 1, 1
2023/6/20, 45, 14, 16, 3, , 1
2023/6/21, 33, 13, 19, 3, , 1
2023/6/22, 17, 14, 18, 4, , 1
2023/6/23, 25, 9, 23, 3, , 1
2023/6/24, 15, 12, 25, 4, , 1
2023/6/25, 18, 14, 26, 3, 1, 1
2023/6/26, 28, 19, 35, 5, , 1
2023/6/27, 33, 23, 48, 5, 1, 1
2023/6/28, 45, 26, 46, 6, , 2
2023/6/29, 54, 19, 38, 6, , 1
2023/6/30, 38, 14, 26, 4, , 1
2023/7/1, 26, 9, 20, 3, , 1
2023/1/3, 62, 27, 26, 9, 1, 3
2023/1/4, 54, 24, 32, 9, 1, 2
2023/1/5, 43, 35, 33, 12, 1, 2
2023/1/6, 65, 41, 33, 9, 2, 2
2023/1/7, 70, 39, 48, 11, 2, 3
2023/1/8, 73, 64, 58, 11, 3, 4
2023/1/9, 127, 73, 40, 10, 1, 4
2023/1/10, 137, 54, 32, 11, 1, 3
2023/1/11, 104, 59, 25, 9, 1, 2
2023/1/12, 102, 59, 27, 12, , 3
2023/1/13, 127, 49, 52, 16, 2, 4
2023/1/14, 95, 24, 27, 8, , 2
2023/1/15, 41, 36, 27, 7, 1, 2
2023/1/16, 54, 28, 20, 10, 1, 3
2023/1/17, 41, 29, 29, 10, 1, 3
2023/1/18, 59, 40, 33, 10, 1, 3
2023/1/19, 72, 47, 43, 11, 2, 4
2023/1/20, 83, 51, 41, 10, 1, 3
2023/1/21, 86, 44, 48, 8, 1, 3
2023/1/22, 79, 43, 37, 6, , 2
2023/1/23, 80, 39, 32, 8, 2, 3
2023/1/24, 74, 57, 34, 4, 1, 2
2023/1/25, 51, 33, 37, 5, 1, 2
2023/1/26, 56, 37, 36, 10, 2, 3
2023/1/27, 64, 47, 37, 7, 2, 3
2023/1/28, 72, 45, 36, 5, 1, 2
