date, pm25, pm10, o3, no2, so2, co
2023/6/25, 102, 60, 11, 14, 11, 13
2023/6/26, 104, 55, 11, 15, 10, 11
2023/6/27, 99, 64, 16, 15, 17, 8
2023/6/28, 122, 63, 7, 15, 12, 9
2023/6/29, 130, 58, 11, 15, 15, 9
2023/6/30, 122, 42, 4, 12, 16, 9
2023/7/1, 77, 40, 4, 13, 12, 11
2023/1/3, 155, 81, 11, 36, 8, 11
2023/1/4, 145, 81, 11, 22, 13, 10
2023/1/5, 142, 81, 11, 24, 11, 10
2023/1/6, 141, 70, 15, 24, 12, 11
2023/1/7, 131, 73, 13, 33, 13, 11
2023/1/8, 118, 82, 12, 41, 16, 20
2023/1/9, 122, 112, 13, 51, 15, 22
2023/1/10, 144, 105, 12, 57, 16, 20
2023/1/11, 141, 96, 13, 51, 11, 14
2023/1/12, 133, 73, 25, 21, 11, 7
2023/1/13, 105, 151, 35, 23, 12, 8
2023/1/14, 147, 83, 20, 30, 13, 10
2023/1/15, 139, 79, 20, 21, 14, 8
2023/1/16, 107, 84, 17, 39, 10, 14
2023/1/17, 128, 89, 20, 43, 16, 14
2023/1/18, 141, 74, 26, 40, 9, 12
2023/1/19, 141, 86, 29, 40, 10, 15
2023/1/20, 131, 95, 14, 43, 12, 11
2023/1/21, 160, 89, 14, 36, 13, 11
2023/1/22, 147, 70, 16, 30, 17, 8
2023/1/23, 131, , , , , 
2023/1/25, 42, 86, 14, 34, 15, 12
2023/1/26, 8, 82, 15, 39, 16, 9
2023/1/27, 37, 95, 14, 30, 8, 8
2023/1/28, 149, 83, 18, 28, 10, 11
2023/1/29, 140, 90, 22, 36, 11, 15
2023/1/30, 132, 78, 20, 36, 11, 12
2023/1/31, 97, 72, 14, 25, 9, 9
2023/2/1, 72, 67, 16, 30, 10, 12
2023/2/2, 55, 75, 17, 38, 9, 12
2023/2/3, 54, 73, 18, 44, 10, 14
2023/2/4, 66, 97, 12, 50, 10, 12
2023/2/5, 65, 90, 18, 58, 16, 18
2023/2/10, 171, 104, 13, 67, 13, 19
2023/2/11, 147, 79, 15, 44, 8, 16
2023/2/12, 115, 89, 16, 51, 14, 11
2023/2/13, 130, 97, 14, 53, 14, 15
2023/2/14, 117, 105, 15, 77, 12, 17
2023/2/15, 141, 118, 14, 80, 12, 16
2023/2/16, 153, 96, 21, 80, 16, 25
2023/2/17, 148, 116, 13, 81, 14, 26
2023/2/18, 147, 109, 13, 75, 12, 23
2023/2/19, 145, 124, , 56, 12, 16
2023/2/20, 171, 164, , 59, 15, 12
2023/2/21, 197, 106, , 32, 12, 10
2023/2/22, 152, 107, 32, 29, 17, 10
2023/2/23, 150, 96, 32, 30, 11, 10
2023/2/24, 142, 150, 32, 55, 15, 16
2023/2/25, 189, 90, 32, 41, 12, 12
2023/2/26, 137, 73, 80, 40, 13, 11
2023/2/27, 117, 75, 15, 40, 11, 12
2023/2/28, 114, 67, 11, 41, 14, 9
2023/3/1, 106, 87, 11, 46, 15, 13
2023/3/2, 135, 89, 11, 46, 14, 17
2023/3/3, 141, 96, 11, 57, 12, 14
2023/3/4, 148, 76, , 41, 12, 11
2023/3/5, 127, 60, , 26, 10, 10
2023/3/6, 85, 83, 16, 35, 13, 14
2023/3/7, 135, 44, 22, 35, 10, 17
2023/3/8, 77, 48, 2, 36, 9, 10
2023/3/9, 85, 38, 2, 37, 10, 14
2023/3/10, 58, 49, 3, 57, 10, 18
2023/3/11, 76, 65, 9, 52, 9, 19
2023/3/12, 106, 58, 6, 52, 10, 24
2023/3/13, 89, 73, 6, 73, 11, 11
2023/3/14, 121, 77, 7, 72, 9, 15
2023/3/15, 121, 78, 2, 48, 9, 14
2023/3/16, 121, 58, 3, 31, 10, 12
2023/3/17, 108, 101, 2, 51, 10, 12
2023/3/18, 164, 53, 16, 18, 7, 5
2023/3/19, 117, 41, 4, 26, 13, 13
2023/3/20, 80, 57, 1, 29, , 11
2023/3/21, 114, 49, 2, 22, , 9
2023/3/22, 93, 36, 1, 17, 10, 10
2023/3/23, 72, 39, 1, 16, 10, 6
2023/3/24, 67, 41, 1, 23, 11, 7
2023/3/25, 70, 42, 1, 19, 10, 11
2023/3/26, 63, 56, 3, 27, 10, 12
2023/3/27, 84, 63, 3, 33, 10, 13
2023/3/28, 90, 58, 3, 34, 12, 13
2023/3/29, 92, 64, 3, 28, 11, 12
2023/3/30, 90, 55, 1, 22, 11, 9
2023/3/31, 94, 51, 1, 19, 11, 7
2023/4/1, 94, , , , , 
2022/10/2, 70, 52, 18, 17, 18, 3
2022/10/3, 65, 60, 7, 18, 13, 2
2022/10/4, 78, 64, 14, 22, 11, 
2022/10/5, 78, 61, 16, 15, , 
2022/10/6, 68, 62, 19, 15, 4, 8
2022/10/7, 80, 50, 29, 22, 46, 16
2022/10/8, 74, 62, 19, 36, 51, 12
2022/10/9, 89, 74, 27, 27, 38, 13
2022/10/10, 98, 88, 7, 30, 30, 10
2022/10/11, 126, 122, 6, 29, 35, 7
2022/10/12, 164, 112, 13, 34, 34, 6
2022/10/13, 162, 125, 9, 46, 47, 8
2022/10/14, 150, 115, 15, 45, 47, 9
2022/10/15, 130, 154, 12, 55, 43, 10
2022/10/16, 159, 182, 11, 44, 42, 6
2022/10/17, 150, , , , , 
2022/10/26, 131, 115, 6, 40, 32, 10
2022/10/27, 164, 161, 18, 69, 45, 10
2022/10/28, 165, 129, 5, 51, 41, 21
2022/10/29, 140, 106, 7, 49, 36, 14
2022/10/30, 134, 143, 11, 38, 37, 9
2022/10/31, 157, 110, 5, 45, 26, 16
2022/11/1, 142, 135, 5, 51, 36, 10
2022/11/2, 171, 125, 6, 50, 29, 6
2022/11/3, 168, 115, 6, 51, 27, 10
2022/11/4, 153, 165, 8, 59, 31, 9
2022/11/5, 124, 138, 6, 54, 36, 7
2022/11/6, 152, 181, 5, 53, 38, 6
2022/11/7, 158, 222, 56, 67, 50, 14
2022/11/8, 171, 166, 27, 62, 41, 21
2022/11/9, 170, 107, 14, 52, 36, 13
2022/11/10, 140, 66, 18, 42, 17, 16
2022/11/11, 101, 69, 21, 45, 5, 7
2022/11/12, 103, 69, 13, 41, 15, 2
2022/11/13, 107, 67, 14, 40, 2, 
2022/11/14, 107, 83, 7, 47, 11, 6
2022/11/15, 138, 98, 7, 41, 4, 2
2022/11/16, 141, 72, 12, 30, 8, 1
2022/11/17, 129, 65, 14, 30, 16, 1
2022/11/18, 105, 57, 8, 29, 20, 1
2022/11/19, 83, 68, 8, 37, 9, 1
2022/11/20, 98, 73, 10, 37, 11, 1
2022/11/21, 102, 72, 28, 40, 8, 1
2022/11/22, 110, 84, 36, 45, 19, 1
2022/11/23, 129, 79, 51, 39, 19, 1
2022/11/24, 107, 77, 24, 36, 13, 6
2022/11/25, 101, 62, 4, 32, 9, 3
2022/11/26, 80, 60, 6, 32, 12, 3
2022/11/27, 80, 68, 5, 41, 19, 1
2022/11/28, 94, 74, 4, 45, 12, 2
2022/11/29, 100, 63, 7, 36, 11, 1
2022/11/30, 85, 66, 5, 25, 5, 2
2022/12/1, 95, 66, 3, 25, 7, 5
2022/12/2, 110, 67, 4, 33, 9, 16
2022/12/3, 104, 73, 13, 37, 9, 13
2022/12/4, 106, 75, 17, 34, 8, 11
2022/12/5, 100, 70, 15, 26, 6, 8
2022/12/6, 107, 70, 13, 26, 3, 6
2022/12/7, 95, 62, 16, 26, 4, 7
2022/12/8, 100, 66, 22, 29, 5, 6
2022/12/9, 89, 61, 16, 35, 6, 6
2022/12/10, 106, 76, 24, 57, 9, 13
2022/12/11, 144, 81, 19, 47, 4, 17
2022/12/12, 159, 77, 14, 43, 8, 6
2022/12/13, 126, 66, 40, 29, 7, 3
2022/12/14, 98, 62, 24, 28, 8, 5
