date, pm25, pm10, o3, no2, so2, co
2022/10/6, 25, 44, 31, 10, 2, 2
2022/10/7, 33, 37, 32, 9, 2, 1
2022/10/8, 26, 28, 37, 4, 2, 1
2022/10/9, 30, 59, 30, 5, 2, 1
2022/10/10, 28, 40, 30, 1, 2, 1
2022/10/11, 25, 16, 24, 4, 3, 1
2022/10/12, 25, 23, 27, 7, 2, 2
2022/10/13, 36, 28, 26, 8, 2, 2
2022/10/14, 32, 38, 33, 10, 2, 2
2022/10/15, 38, 38, 36, 10, 2, 2
2022/10/16, 37, 41, 40, 10, 3, 2
2022/10/17, 37, 49, 36, 9, 3, 2
2022/10/18, 40, 20, 33, 5, 2, 1
2022/10/19, 20, 9, 27, 2, , 1
2022/10/20, 21, 12, 29, 4, 3, 1
2022/10/21, 29, 19, 34, 3, 2, 1
2022/10/22, 38, 13, 31, 3, 2, 1
2022/10/23, 21, 18, 33, 2, 2, 1
2022/10/24, 25, 15, 22, 1, 4, 1
2022/10/25, 24, 8, 19, 4, 2, 1
2022/10/26, 17, 16, 26, 4, 2, 2
2022/10/27, 32, 26, 17, 7, 2, 2
2022/10/28, 31, 10, 24, 2, 2, 1
2022/10/29, 28, 11, 21, 3, 2, 1
2022/10/30, 27, 10, 22, 5, 2, 1
2022/10/31, 25, 16, 20, 5, 2, 1
2022/11/1, 24, 23, 8, 9, 2, 2
2022/11/2, 29, 18, 23, 7, 2, 1
2022/11/3, 33, 24, 24, 5, 3, 1
2022/11/4, 39, 23, 24, 6, 3, 1
2022/11/5, 36, 26, 24, 6, 2, 1
2022/11/6, 27, 36, 15, 11, 3, 2
2022/11/7, 34, 39, 21, 10, 3, 2
2022/11/8, 44, 41, 31, 7, 3, 2
2022/11/9, 57, 7, 26, 1, 2, 1
2022/11/10, 29, 8, 25, 2, 2, 1
2022/11/11, 24, 13, 15, 8, 2, 1
2022/11/12, 27, 22, 19, 9, 2, 1
2022/11/13, 41, 32, 15, 9, 2, 2
2022/11/14, 64, 40, 25, 8, 2, 2
2022/11/15, 88, 40, 18, 13, 3, 2
2022/11/16, 74, 58, 13, 14, 3, 3
2022/11/17, 116, 15, 25, 4, 2, 1
2022/11/18, 40, 12, 17, 4, 2, 1
2022/11/19, 34, 10, 17, 4, 2, 1
2022/11/20, 26, 25, 11, 10, 3, 1
2022/11/21, 55, 29, 11, 11, 2, 1
2022/11/22, 56, 30, 10, 9, 2, 1
2022/11/23, 70, 23, 32, 5, 2, 1
2022/11/24, 51, 13, 26, 3, , 1
2022/11/25, 32, 20, 25, 3, 2, 1
2022/11/26, 23, 20, 33, 3, 2, 1
2022/11/27, 29, 24, 47, 14, , 1
2022/11/28, 32, 15, 19, 1, 2, 1
2022/11/29, 30, 21, 15, 7, 2, 1
2022/11/30, 36, 27, 14, 10, 3, 2
2022/12/1, 53, 37, 16, 11, 3, 2
2022/12/2, 76, 42, 13, 8, 3, 2
2022/12/3, 83, 50, 13, 10, 2, 3
2022/12/4, 99, 43, 17, 10, 2, 2
2022/12/5, 66, 53, 11, 17, 2, 3
2022/12/6, 77, 58, 13, 15, 2, 4
2022/12/7, 111, 73, 10, 20, 3, 7
2022/12/8, 151, 74, 8, 19, 2, 8
2022/12/9, 157, 56, 12, 20, 2, 5
2022/12/10, 124, 58, 28, 16, 2, 5
2022/12/11, 137, 45, 21, 14, 2, 4
2022/12/12, 94, 54, 12, 19, 2, 5
2022/12/13, 118, 43, 15, 18, 2, 3
2022/12/14, 89, 48, 12, 17, 3, 4
2022/12/15, 96, 28, 19, 15, 2, 3
2022/12/16, 69, 28, 17, 15, 2, 3
2022/12/17, 71, 45, 12, 20, 3, 5
2022/12/18, 113, 57, 14, 18, 3, 6
2022/12/19, 139, 66, 21, 16, 3, 6
2022/12/20, 154, 68, 13, 25, 3, 7
2022/12/21, 151, 72, 13, 24, 3, 7
2022/12/22, 146, 88, 12, 25, 4, 8
2022/12/23, 170, 82, 17, 20, 5, 8
2022/12/24, 167, 62, 22, 14, 3, 6
2022/12/25, 142, 41, 26, 13, 3, 3
2022/12/26, 101, 39, 13, 20, 3, 4
2022/12/27, 76, 47, 17, 20, 4, 5
2022/12/28, 105, 65, 12, 27, 5, 7
2022/12/29, 146, 88, 10, 32, 9, 10
2022/12/30, 174, 89, 11, 31, 8, 10
2022/12/31, 174, 92, 18, 29, 6, 10
2023/1/1, 177, 83, 16, 24, 5, 9
2023/1/2, 170, 94, 19, 26, 8, 10
2022/7/2, 34, 24, 41, 4, 3, 1
2022/7/3, 24, 16, 44, 2, 3, 1
2022/7/4, 26, 18, 45, 2, 3, 1
2022/7/5, 25, 17, 42, 3, 3, 1
2022/7/6, 25, 26, 39, 4, 3, 1
2022/7/7, 29, 40, 45, 6, 3, 2
2022/7/8, 33, 28, 46, 3, 3, 1
2022/7/9, 27, 19, 44, 5, 3, 1
2022/7/10, 28, 13, 46, 2, 3, 1
2022/7/11, 17, 13, 53, 2, 3, 1
2022/7/12, 18, 21, 45, 2, 3, 1
2022/7/13, 27, 12, 44, 1, 3, 1
2022/7/14, 21, 13, 36, 1, 3, 1
